,StateAbb,CCode,StateNme,Names,SpeechCount
0,USA,2,United States of America,"United States,united states,USA,US,united states of america,United States of America",932
1,TAW,713,Taiwan,"Taiwan,taiwan,taipei,china taiwan,taiwan province of china,formosa,chinataiwanformosa,chinese taipei",522
2,EGY,651,Egypt,"Egypt,egypt,uar,egypt/uar,egypt uar,united arab republic,egypt arab rep",461
3,MYA,775,Myanmar,"Myanmar,myanmar,burma,bur,myanmar burma,burma myanmar,burma/myanmar,myanmar/burma,myanmar exburma",330
4,EUO,1004,Europe,europe,247
5,ASA,1003,Asia,"oriental, asia",246
6,NMA,1001,North America,north america,244
7,FSM,987,Federated States of Micronesia,Federated States of Micronesia,241
8,PAL,986,Palau,"Palau,palau",240
9,NAU,970,Nauru,"Nauru,nauru",238
10,FIJ,950,Fiji,"Fiji,fiji",236
11,TUV,947,Tuvalu,"Tuvalu,tuvalu",235
12,KIR,946,Kiribati,"Kiribati,kiribati,gilbert islands",234
13,VAN,935,Vanuatu,"Vanuatu,vanuatu,new hebrides",232
14,PNG,910,Papua New Guinea,"Papua New Guinea,papua new guinea,papua ng,pap new guinea,p new guinea,new guinea,papua and new guinea,papua n g,papua new guin,new_guinea,new_guin",230
15,RVN,817,Republic of Vietnam,"Republic of Vietnam,republic of vietnam,south vietnam,vietnam republic of,south vietnam,republic of south vietnam",222
16,MAD,781,Maldives,"Maldives,maldives,maldive islands",216
17,SRI,780,Sri Lanka,"Sri Lanka,sri lanka,ceylon,sri lanka ceylon,sri_lka,sri lanka exceilan",215
18,BHU,760,Bhutan,"Bhutan,bhutan",211
19,MON,712,Mongolia,"Mongolia,mongolia,mongola",203
20,KZK,705,Kazakhstan,"Kazakhstan,kazakhstan,kazakstan",201
21,UZB,704,Uzbekistan,"Uzbekistan,uzbekistan",200
22,KYR,703,Kyrgyzstan,Kyrgyzstan,199
23,TAJ,702,Tajikistan,"Tajikistan,tajikistan,tadzhikistan",198
24,TKM,701,Turkmenistan,"Turkmenistan,turkmenistan,turkmenia,turkmenist",197
25,AFG,700,Afghanistan,"Afghanistan,afghanistan,afghan,afganistan",196
26,YPR,680,Yemen People's Republic,"Yemen People's Republic,yemen people's republic,democratic yemen former,yemen aden,south yemen,sourn yemen,yemen people's republic of,yemen p r,yemen pr,yemen_s,democratic yemen,yemen south,yemen south,yemen s",190
27,YAR,678,Yemen Arab Republic,"Yemen Arab Republic,yemen arab republic,yemen arab republic former,yemen sanaa,north yemen,arab republic of yemen,yemen ar,yemen a r,yemen_n,yemen north,yemen north,yemen n",188
28,CHN,710,China,"China,china,china mainland",182
29,IRQ,645,Iraq,"Iraq,iraq",173
30,ALG,615,Algeria,"Algeria,algeria",171
31,RUS,365,Russia,"Russia,russia,ussr,russian federation,sun,russia/soviet union,union of soviet socialist republics former,union of soviet socialist republics,russia russian federation,union of soviet socialist republics ussr",168
32,SEY,591,Seychelles,"Seychelles,seychelles,seychel",168
33,MAS,590,Mauritius,"Mauritius,mauritius,mritius",167
34,COM,581,Comoros,"Comoros,comoros",166
35,MAG,580,Madagascar,"Madagascar,madagascar,malagasy,malagasy republic,madagas",165
36,OMA,698,Oman,"Oman,oman",165
37,SWA,572,Swaziland,"Swaziland,swaziland",164
38,LES,570,Lesotho,"Lesotho,lesotho",162
39,NAM,565,Namibia,"Namibia,namibia",161
40,ZAM,551,Zambia,"Zambia,zambia",157
41,MZM,541,Mozambique,"Mozambique,mozambique,mozambq",156
42,ANG,540,Angola,"Angola,angola",155
43,ERI,531,Eritrea,"Eritrea,eritrea",154
44,DJI,522,Djibouti,"Djibouti,djibouti",151
45,ZAN,511,Zanzibar,"Zanzibar,zanzibar",147
46,DRC,490,Democratic Republic of the Congo,"Democratic Republic of the Congo,democratic republic of congo,dem rep congo,congo dem r,zaire congo kinshasa,congo dr zaire,congo dem rep,zaire/dem rep of congo,congo droc,congo kinshasa,zaire,zaire democratic republic of congo,congo democratic republic of,congo democratic rep of",143
47,GAB,481,Gabon,"Gabon,gabon",139
48,CAO,471,Cameroon,"Cameroon,cameroon,cameroun",137
49,TOG,461,Togo,"Togo,togo",136
50,MLI,432,Mali,"Mali,mali",133
51,CDI,437,Ivory Coast,Ivory Coast,130
52,MAA,435,Mauritania,"Mauritania,mauritania,mauritn",128
53,BEN,434,Benin,"Benin,benin,dahomey,benin/dahomey,benin dahomey",127
54,GAM,420,Gambia,"Gambia,gambia",124
55,EQG,411,Equatorial Guinea,"Equatorial Guinea,equatorial guinea,eq_gnea,guinea equatorial",123
56,GNB,404,Guinea-Bissau,"Guinea-Bissau,guineabissau,guinea bissau,g bissau,g_bissau,g_bisau",122
57,STP,403,Sao Tome and Principe,"Sao Tome and Principe,sao tome and principe,sao tome principe,sao tomeprincipe,sao tome and prin,sao tome prin",121
