,StateAbb,CCode,StateNme,Names,SpeechCount
0,USA,2,United States of America,"United States,united states,USA,US,united states of america,United States of America"
1,CAN,20,Canada,"Canada,canada"
2,BHM,31,Bahamas,"Bahamas,bahamas"
3,CUB,40,Cuba,"Cuba,cuba"
5,HAI,41,Haiti,"Haiti,haiti"
7,DOM,42,Dominican Republic,"Dominican Republic,dominican republic,dominican rep,dom_rep"
9,JAM,51,Jamaica,"Jamaica,jamaica"
10,TRI,52,Trinidad and Tobago,"Trinidad and Tobago,trinidad and tobago,trinidad tob,trinidad tobago,trinidad,trin and tobago,trin tobago"
11,BAR,53,Barbados,"Barbados,barbados,barbado"
12,DMA,54,Dominica,"Dominica,dominica,dominica is"
13,GRN,55,Grenada,"Grenada,grenada,grenada is"
14,SLU,56,St. Lucia,St. Lucia
15,SVG,57,St. Vincent and the Grenadines,St. Vincent and the Grenadines
16,AAB,58,Antigua & Barbuda,Antigua & Barbuda
17,SKN,60,St. Kitts and Nevis,St. Kitts and Nevis
18,MEX,70,Mexico,"Mexico,mexico"
19,BLZ,80,Belize,"Belize,belize"
20,GUA,90,Guatemala,"Guatemala,guatemala,guatmala"
21,HON,91,Honduras,"Honduras,honduras,hondura"
22,SAL,92,El Salvador,"El Salvador,el salvador,salvador,salvadr"
23,NIC,93,Nicaragua,"Nicaragua,nicaragua,nicaraga"
24,COS,94,Costa Rica,"Costa Rica,costa rica"
25,PAN,95,Panama,"Panama,panama"
26,COL,100,Colombia,"Colombia,colombia"
27,VEN,101,Venezuela,"Venezuela,venezuela,venez,venezuela rb"
28,GUY,110,Guyana,"Guyana,guyana"
29,SUR,115,Suriname,"Suriname,suriname,surinam"
30,ECU,130,Ecuador,"Ecuador,ecuador"
31,PER,135,Peru,"Peru,peru"
32,BRA,140,Brazil,"Brazil,brazil"
33,BOL,145,Bolivia,"Bolivia,bolivia"
34,PAR,150,Paraguay,"Paraguay,paraguay,paragua"
36,CHL,155,Chile,"Chile,chile"
37,ARG,160,Argentina,"Argentina,argentina,argent"
38,URU,165,Uruguay,"Uruguay,uruguay"
39,UKG,200,United Kingdom,"United Kingdom,united kingdom,uk,great britain,britain,ukingdom"
40,IRE,205,Ireland,"Ireland,ireland,eire"
41,NTH,210,Netherlands,"Netherlands,nerlands,holland,nethlds"
43,BEL,211,Belgium,"Belgium,belgium"
45,LUX,212,Luxembourg,"Luxembourg,luxembourg"
47,FRN,220,France,"France,france"
49,MNC,221,Monaco,"Monaco,monaco"
50,LIE,223,Liechtenstein,"Liechtenstein,liechtenstein"
51,SWZ,225,Switzerland,"Switzerland,switzerland,switzld"
52,SPN,230,Spain,"Spain,spain"
53,AND,232,Andorra,"Andorra,andorra"
54,POR,235,Portugal,"Portugal,portugal"
55,HAN,240,Hanover,"Hanover,hanover"
56,BAV,245,Bavaria,"Bavaria,bavaria"
57,GMY,255,Germany,"Germany,germany,prussia,germany/prussia,german federal republic,west germany,germany federal republic of,federal republic of germany,german"
59,GFR,260,German Federal Republic,German Federal Republic
60,GDR,265,German Democratic Republic,"German Democratic Republic,german democratic republic,east germany,german democratic rep,german democratic republic former,germany dr"
61,BAD,267,Baden,"Baden,baden"
62,SAX,269,Saxony,"Saxony,saxony"
63,WRT,271,Wuerttemburg,"Wuerttemburg,wuerttemburg"
64,HSE,273,Hesse Electoral,"Hesse Electoral,hesse electoral"
65,HSG,275,Hesse Grand Ducal,"Hesse Grand Ducal,hesse grand ducal"
66,MEC,280,Mecklenburg Schwerin,"Mecklenburg Schwerin,meckelnburg schwerin"
67,POL,290,Poland,"Poland,poland"
69,AUH,300,Austria-Hungary,"Austria-Hungary,austriahungary"
70,AUS,305,Austria,"Austria,austria"
72,HUN,310,Hungary,"Hungary,hungary"
